,Municipio,Latitud,Longitud,Categoria,Nombre del Lugar,Distancia (m),adress
0,Alcala de henares,40.4818396,-3.3644973,10027,Museo Arqueológico Regional,418,"Plaza Bernardas, s/n"
1,Alcala de henares,40.4818396,-3.3644973,10027,Museo Casa Natal de Cervantes,223,"Calle Mayor, 48"
2,Alcala de henares,40.4818396,-3.3644973,10027,Centro de Interpretación los Universos de Cervantes,92,"Plaza de Cervantes, s/n"
3,Alcala de henares,40.4818396,-3.3644973,10027,Museo de Arte Iberoamericano de la UAH,230,"Plaza de San Diego, s/n"
4,Alcala de henares,40.4818396,-3.3644973,10027,Museo Cisneriano,668,"Paseo Estación, 10"
5,Alcala de henares,40.4818396,-3.3644973,10027,Museo Perfumería Gal,1271,"Avenida de Madrid, 28"
6,Alcala de henares,40.4818396,-3.3644973,10027,Convento de la Madre de Dios,387,
7,Alcala de henares,40.4818396,-3.3644973,10027,Palacio Arzobispal,664,"Plaza Puerta de Madrid, s/n"
8,Alcobendas,40.5400082,-3.6358494,10027,Centro de Arte Alcobendas,460,"Calle Mariano Sebastián Izuel, Nº 9"
9,Alcobendas,40.5400082,-3.6358494,10027,Museo Nacional de Ciencia y Tecnologia MUNCYT,508,"Calle Pintor Velazquez, 5"
10,Alcobendas,40.5400082,-3.6358494,10027,MUNCYT Alcobendas,427,"Pintor Velázquez, 5"
11,Alcobendas,40.5400082,-3.6358494,10027,Museo Etnográfico el Caserón,1205,"Plaza de la Constitución, s/n"
12,Alcorcon,40.3492998,-3.8284295,10027,MAVA - Museo de Arte en Vídrio de Alcorcón,1909,"Avenida de los Castillos, s/n"
13,Alcorcon,40.3492998,-3.8284295,10027,Museo de Aeronáutica y Astronáutica de España,2681,"Carretera de Extremadura, Km 10,5"
14,Alcorcon,40.3492998,-3.8284295,10027,Colección municipal de arte contemporáneo de Alcorcón,768,"Avenida Pablo Iglesias, s/n"
15,Alcorcon,40.3492998,-3.8284295,10027,Museo Municipal de Arte en Vidrio,1895,"Avenida los Castillos, 0"
16,Alpedrete,40.6599005,-4.0251223,10027,Museo de Astronomía y Geodesia,1214,"Plaza Ciencias, 3"
17,Alpedrete,40.6599005,-4.0251223,10027,Formacion y Reciclaje en Seguridad,2475,"Carretera Nacional N-601, Km 5"
18,Aranjuez,40.03221,-3.6039604,10027,Palacio Real de Aranjuez,587,"Plaza de Parejas, S/N"
19,Aranjuez,40.03221,-3.6039604,10027,Casa del Labrador,1753,"Calle de la Reina, S/N"
20,Aranjuez,40.03221,-3.6039604,10027,Museo de Faluas Reales,1192,"Jardín del Príncipe, 0"
21,Aranjuez,40.03221,-3.6039604,10027,Patrimonio Nacional,426,"Plaza de Parejas, 12"
22,Aranjuez,40.03221,-3.6039604,10027,Tren de la Fresa,1257,"Dde la Estación, 1"
23,Aranjuez,40.03221,-3.6039604,10027,Convento de San Pascual (Aranjuez),360,"Calle del Rey, 75"
24,Arganda del rey,40.3007708,-3.4380688,10027,Exmoarte,234,"Calle Granados, 1"
25,Buitrago del lozoya,40.9953477,-3.6350501,10027,Museo Picasso de Buitrago,239,"Plaza de Picasso, 1"
26,Cercedilla,40.7412931,-4.0558002,10027,Fabrica de la Luz,1461,"Carretera de las Dehesas, 2"
27,Cercedilla,40.7412931,-4.0558002,10027,Museo del Esquí,24,"Plaza Mayor, 3"
28,Chinchon,40.1408293,-3.4231474,10027,Museo Etnologico la Posada,60,"Calle Morata, 5"
29,Collado mediano,40.6943707,-4.0247212,10027,Formacion y Reciclaje en Seguridad,1764,"Carretera Nacional N-601, Km 5"
30,Colmenar de oreja,40.1074198,-3.3871634,10027,Museo Municipal Ulpiano Checa,243,"Calle María Teresa Freire, 2"
31,Colmenar viejo,40.6587726,-3.7659722,10027,Casa Museo de la Villa - Oficina de Turismo,258,"Plaza Maestro Almeida, 1"
32,Colmenar viejo,40.6587726,-3.7659722,10027,Ayuntamiento de Colmenar Viejo,258,"Plaza del Maestro Almeida, 1"
33,Coslada,40.423802,-3.5552882,10027,Sala de Exposiciones Juan Carlos I,1928,"Plaza Fernando VI, s/n"
34,El escorial,40.5890661,-4.147394873409854,10027,Monasterio de San Lorenzo de el Escorial,57,"Avenida Juan de Borbón y Battemberg, s/n"
35,El escorial,40.5890661,-4.147394873409854,10027,Cocheras del Rey,288,"Calle del Rey, 41"
36,Fresnedillas de la oliva,40.486444,-4.1723486,10027,Museo Lunar Fresnedillas de la Oliva,401,"Carretera de Colmenar del Arroyo, 9"
37,Gascones,41.0185654,-3.641499,10027,Museo Picasso de Buitrago,2827,"Plaza de Picasso, 1"
38,Humanes de madrid,40.2508847,-3.8270997,10027,Museo del Labrador,167,"Plaza de la Constitución, 4"
39,Madrid,40.4167047,-3.7035825,10027,Imprenta Municipal,356,"Calle Concepción Jerónima, 15"
40,Madrid,40.4167047,-3.7035825,10027,Museo Thyssen Bornemisza (Museo Thyssen-Bornemisza),731,"Paseo del Prado, 8"
41,Madrid,40.4167047,-3.7035825,10027,Casa-Museo de Lope de Vega,580,"Calle de Cervantes, 11"
42,Madrid,40.4167047,-3.7035825,10027,Royal Palace of Madrid (Palacio Real de Madrid),913,"Calle Bailén, S/N"
43,Madrid,40.4167047,-3.7035825,10027,Real Academia de Bellas Artes de San Fernando,281,Calle de Alcalá 13
44,Madrid,40.4167047,-3.7035825,10027,Museo Nacional del Prado,1010,"Calle Ruiz de Alarcón, 23"
45,Madrid,40.4167047,-3.7035825,10027,Espacio Fundación Telefónica,426,"Calle Fuencarral, 3"
46,Madrid,40.4167047,-3.7035825,10027,Fundacion Mapfre,1174,"Paseo de Recoletos, 23"
47,Madrid,40.4167047,-3.7035825,10027,CaixaForum Madrid,1061,"Paseo del Prado, 36"
48,Madrid,40.4167047,-3.7035825,10027,Museo Naval,921,"Paseo del Prado, 5"
49,Madrid,40.4167047,-3.7035825,10027,Museo Nacional Centro de Arte Reina Sofía (Museo Nacional Centro de Arte Reina Sofía (MNCARS)),1219,"Calle de Santa Isabel, 52"
50,Madrid,40.4167047,-3.7035825,10027,Guernica by Pablo Picasso,1235,
51,Madrid,40.4167047,-3.7035825,10027,Museo Arqueológico Nacional,1425,"Calle de Serrano, 13"
52,Madrid,40.4167047,-3.7035825,10027,Templo de Debod,1451,"Calle Ferraz, 1"
53,Madrid,40.4167047,-3.7035825,10027,Museo Nacional del Romanticismo (Madrid),1101,"Calle San Mateo, 13"
54,Madrid,40.4167047,-3.7035825,10027,Palace of Communication (Palacio de Cibeles),996,"Plaza de Cibeles, 1"
55,Madrid,40.4167047,-3.7035825,10027,Monasterio de las Descalzas Reales,276,"Plaza Descalzas Reales, S/N"
56,Madrid,40.4167047,-3.7035825,10027,Museo Cerralbo,1238,"Calle de Ventura Rodríguez, 17"
57,Madrid,40.4167047,-3.7035825,10027,Real Armería de Madrid,985,"Calle Bailén, 6"
58,Madrid,40.4167047,-3.7035825,10027,Museo de Historia de Madrid,1046,"Calle Fuencarral, 78"
59,Madrid,40.4167047,-3.7035825,10027,Palacio de Velázquez,1838,"P. Duque de Fernán Núñez, s/n"
60,Madrid,40.4167047,-3.7035825,10027,Museo Sorolla,2281,"Paseo del General Martínez Campos, 37"
61,Madrid,40.4167047,-3.7035825,10027,Casón del Buen Retiro,1222,"Calle Alfonso XII, 28"
62,Madrid,40.4167047,-3.7035825,10027,Instituto Juan March de Estudios e Investigaciones,2481,"Calle Castello, 77"
63,Madrid,40.4167047,-3.7035825,10027,La Neomudejar,2136,"Calle Antonio Nebrija, s/n"
64,Madrid,40.4167047,-3.7035825,10027,Museo del Ferrocarril,2252,"Paseo de las Delicias, 61"
65,Madrid,40.4167047,-3.7035825,10027,Museo de Escultura al Aire Libre,2351,"Paseo de la Castellana, 41"
66,Madrid,40.4167047,-3.7035825,10027,Museo ABC,1311,"Calle de Amaniel, 29"
67,Madrid,40.4167047,-3.7035825,10027,Fundación Lázaro Galdiano,2701,"Calle de Serrano, 122"
68,Madrid,40.4167047,-3.7035825,10027,Museo de los Orígenes,800,"Plaza de San Andrés, 2"
69,Madrid,40.4167047,-3.7035825,10027,Museo Geominero,2868,"Calle Ríos Rosas, 23"
70,Madrid,40.4167047,-3.7035825,10027,Museo Casa de la Moneda,2983,"Calle Doctor Esquerdo, 36"
71,Madrid,40.4167047,-3.7035825,10027,Nave de Motores,2843,"Calle Valderribas, 49"
72,Madrid,40.4167047,-3.7035825,10027,National Museum of Natural Sciences (Museo Nacional de Ciencias Naturales),2951,"Calle José Gutiérrez Abascal, 2"
73,Madrid,40.4167047,-3.7035825,10027,Casita Museo de Ratón Pérez,171,"Calle Arenal, 8"
74,Madrid,40.4167047,-3.7035825,10027,Fundación Canal. Canal de Isabel II,5629,"Mateo Inurria, 2"
75,Madrid,40.4167047,-3.7035825,10027,Museo de América,2842,"Avenida de los Reyes Católicos, 6"
76,Madrid,40.4167047,-3.7035825,10027,Museo Nacional de Antropología,1598,"Calle Alfonso XII, 68"
77,Madrid,40.4167047,-3.7035825,10027,Museo de la Catedral de la Almudena,873,"Plaza de la Almudena, s/n"
78,Madrid,40.4167047,-3.7035825,10027,Museo del Tarot,178,"Calle San Alberto, 1"
79,Madrid,40.4167047,-3.7035825,10027,Gabinete de Historia Natural,195,"Calle Victoria, 9"
80,Madrid,40.4167047,-3.7035825,10027,Calcografía Nacional,269,"Calle de Alcalá, 13"
81,Madrid,40.4167047,-3.7035825,10027,Velázquez Tech Museum,271,"Calle Atocha, 14"
82,Madrid,40.4167047,-3.7035825,10027,Museum of Illusions Madrid,373,"Calle Doctor Cortezo, 8"
83,Madrid,40.4167047,-3.7035825,10027,Panteón de Hombres Ilustres,2034,"Calle Julián Gayarre, 3"
84,Madrid,40.4167047,-3.7035825,10027,Casa de Canarias,594,"Jovellanos, 5"
85,Madrid,40.4167047,-3.7035825,10027,ExpoVida,690,"Calle de Zorrilla, 23"
86,Madrid,40.4167047,-3.7035825,10027,Real Monasterio de la Encarnación,748,"Plaza de la Encarnación, 1"
87,Madrid,40.4167047,-3.7035825,10027,Palacio de los Duques de Villahermosa,790,"P. del Prado, 8"
88,Madrid,40.4167047,-3.7035825,10027,Real Academia Nacional de Farmacia,869,"Calle Farmacia, 11"
89,Manzanares el real,40.7267632,-3.864981,10027,Castillo nuevo de Manzanares el Real,233,"Calle del Castillo, s/n"
90,Moraleja de enmedio,40.2615532,-3.8612117,10027,Museo del Labrador,2984,"Plaza de la Constitución, 4"
91,Morata de tajuna,40.2294297,-3.4366925,10027,Museo Batalla del Jarama,406,"Calle del Carmen, 36"
92,Mostoles,40.3238525,-3.8649214,10027,Centro de Arte Dos de Mayo,163,"Avenida Constitución, 23"
93,Mostoles,40.3238525,-3.8649214,10027,Armería Florida,376,"Calle Malvarrosa, 5"
94,Mostoles,40.3238525,-3.8649214,10027,Museo de la Ciudad de Móstoles,192,"Calle Andrés Torrejón, Nº 5"
95,Navalcarnero,40.2877169,-4.014299,10027,Museo del Vino,149,"Plaza de Alonso de Arreo, s/n"
